鄉鎮市區,有無車位,租賃層次,總樓層數,建物型態,屋齡,坪數,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,總額元
9,0,6,15,4,15,36,3,2,1,1,1,1,20000
8,0,13,15,0,37,162,5,0,2,0,1,0,308000
9,0,6,10,2,40,30,3,2,2,1,1,1,41000
10,0,1,20,0,25,18,4,0,3,0,1,0,17000
2,0,6,15,4,9,30,3,1,1,1,1,1,41000
2,0,11,20,4,35,36,3,2,1,1,1,1,32000
2,0,2,5,1,38,24,3,2,1,1,0,1,26000
2,0,9,15,4,39,36,3,1,1,1,1,0,53000
6,0,1,5,1,40,30,2,2,1,1,0,0,44000
6,0,4,5,1,36,36,3,2,2,1,0,0,20000
2,0,2,20,4,35,30,1,1,1,1,1,1,26000
9,0,6,15,4,35,36,2,2,2,1,1,1,26000
8,0,16,20,4,31,12,1,1,1,1,1,1,20000
8,0,10,15,4,37,18,1,1,1,1,0,1,20000
9,0,5,15,4,35,36,2,1,2,1,1,1,41000
8,0,1,5,1,15,36,4,0,4,0,0,0,110000
9,0,5,5,2,18,48,1,1,1,1,1,1,74000
10,0,3,5,1,15,24,3,1,1,1,0,1,17000
8,0,7,15,4,11,36,3,2,2,1,1,1,35000
9,0,7,25,0,25,72,3,0,4,1,1,1,80000
5,0,7,15,4,5,72,3,2,2,1,0,1,80000
3,0,2,15,4,13,114,4,2,2,1,1,1,2e+05
3,0,6,10,2,17,30,2,2,2,1,1,1,47000
5,0,4,5,1,37,36,3,2,2,1,1,1,26000
5,0,4,15,4,22,54,4,2,2,1,1,1,38000
3,1,3,20,4,5,108,2,2,2,1,1,0,140000
5,0,2,10,2,14,42,3,2,2,1,1,1,32000
3,0,8,15,4,39,36,5,0,2,1,1,1,47000
5,0,5,5,1,37,36,3,2,1,1,0,1,20000
3,0,5,15,0,35,60,4,0,1,1,1,1,80000
3,0,14,15,0,32,78,5,0,2,1,1,0,104000
3,0,12,15,0,16,84,3,0,1,0,1,0,152000
5,0,5,15,4,10,84,6,2,3,1,1,1,62000
3,0,8,15,0,38,78,7,0,1,1,1,1,152000
3,0,18,20,4,10,18,1,0,1,1,1,1,23000
8,0,1,20,4,33,24,3,0,4,0,1,0,38000
9,0,4,20,0,27,12,3,0,1,0,1,0,17000
9,0,3,5,1,15,30,2,2,1,1,0,0,23000
8,0,3,15,0,38,48,4,0,1,0,1,1,68000
8,0,4,15,4,43,54,3,2,2,1,1,1,71000
9,0,5,5,1,15,24,3,1,1,1,0,0,20000
7,0,3,15,3,11,18,1,1,1,1,1,0,17000
7,0,1,5,1,38,30,1,1,1,1,0,0,41000
1,0,4,5,1,15,12,2,1,1,1,0,1,8000
2,0,12,15,4,10,30,2,2,1,1,1,1,38000
4,1,3,15,4,11,48,2,2,2,1,0,1,71000
6,0,2,5,1,51,24,3,2,1,1,0,1,14000
2,0,2,15,4,39,30,3,0,4,0,1,0,35000
2,0,3,10,2,36,18,1,2,1,1,0,1,32000
2,0,9,15,4,36,24,2,1,1,1,1,1,35000
2,0,7,15,4,10,42,3,2,2,1,0,1,68000
1,0,14,20,4,11,18,1,0,1,1,0,1,23000
11,0,23,30,4,4,18,1,1,2,1,1,1,32000
0,0,2,5,1,6,24,2,1,1,1,0,0,23000
9,0,9,15,0,13,102,4,2,1,1,1,1,92000
9,0,6,20,0,23,30,1,1,1,1,1,0,38000
8,0,4,15,4,26,54,2,2,1,1,1,1,50000
10,0,3,5,1,47,30,3,2,1,1,0,0,20000
3,0,5,5,1,40,30,3,2,1,1,0,1,20000
5,0,12,15,4,37,36,3,2,2,1,1,0,32000
3,0,6,10,0,5,402,3,0,4,0,1,0,587000
3,0,6,10,0,42,48,3,0,4,0,1,0,41000
5,0,7,10,0,14,150,3,0,3,0,1,0,152000
3,0,11,15,4,5,24,2,1,1,1,1,1,32000
5,0,1,10,2,21,36,3,2,2,1,1,0,35000
3,0,11,20,4,4,24,2,1,1,1,1,1,50000
5,0,2,5,1,7,36,3,2,2,1,1,0,32000
5,0,2,5,1,23,30,3,2,1,1,0,1,23000
3,0,8,15,4,21,30,2,2,2,1,1,1,38000
3,0,12,15,0,42,108,2,0,4,0,1,0,128000
9,0,17,20,4,14,18,4,0,1,0,1,1,20000
8,0,3,5,1,34,42,2,2,2,1,0,1,47000
9,0,7,15,4,14,48,2,0,2,1,0,1,59000
8,0,1,5,1,34,60,4,3,2,1,0,0,41000
8,0,1,10,2,41,24,4,0,1,0,0,0,68000
9,0,2,15,4,35,36,2,1,2,1,1,1,32000
10,0,2,10,2,14,54,3,2,2,1,0,1,47000
7,0,3,5,1,31,36,3,2,2,1,0,0,23000
7,0,3,20,4,7,54,2,1,2,1,1,1,77000
0,0,2,15,4,12,48,3,1,2,1,1,1,80000
1,0,14,20,4,11,18,1,1,1,1,1,1,26000
2,0,9,15,4,15,30,2,2,1,1,0,1,44000
2,0,6,15,3,12,18,1,1,1,1,1,0,26000
2,0,5,10,2,5,12,1,1,1,1,0,1,32000
2,0,1,15,4,15,18,3,0,1,0,1,0,65000
2,0,3,15,4,15,48,4,2,2,1,0,1,74000
4,0,19,20,4,4,72,4,2,2,1,1,1,137000
4,0,5,15,4,15,42,4,0,4,0,1,0,47000
4,0,5,10,0,15,24,1,1,1,1,0,1,17000
9,0,7,25,0,25,54,3,0,1,0,1,0,77000
10,0,1,5,1,15,18,1,1,2,1,0,0,20000
8,0,1,5,1,45,18,4,1,1,1,0,0,32000
9,0,-1,10,2,24,30,3,2,2,1,1,1,32000
8,0,5,15,4,13,12,3,0,4,0,1,1,17000
8,0,1,5,1,35,42,2,0,2,0,0,1,41000
9,0,3,5,1,15,24,2,1,1,1,1,1,20000
8,0,2,15,4,26,54,3,2,2,1,1,1,41000
10,0,3,5,1,15,42,5,0,1,0,0,1,29000
9,0,3,10,4,16,102,3,2,2,1,1,1,92000
8,0,3,10,2,36,12,1,1,1,1,1,1,17000
8,0,9,15,4,39,24,5,0,3,0,0,1,20000
8,0,9,15,4,39,30,5,0,4,0,0,1,32000
8,0,2,15,0,34,66,3,0,2,0,1,0,107000
9,0,2,15,0,32,24,3,0,3,0,1,0,29000
1,0,9,15,3,37,12,1,1,1,1,1,0,14000
1,0,10,10,2,29,96,3,1,1,1,1,1,59000
7,0,16,20,4,7,48,2,2,1,1,1,1,56000
0,0,3,5,1,44,30,3,2,1,1,0,0,26000
3,0,12,15,4,13,84,6,2,4,1,1,1,74000
3,0,16,20,3,4,24,1,1,1,1,1,1,44000
3,0,2,15,0,39,18,2,0,1,0,1,0,23000
3,0,3,15,4,12,24,2,1,1,1,1,1,32000
3,0,6,15,3,12,12,1,1,1,1,1,0,20000
3,0,2,15,0,37,30,3,0,1,0,1,0,44000
3,0,2,10,2,21,42,3,2,2,1,1,0,44000
5,0,13,15,3,12,18,1,1,1,1,1,1,23000
